Date,iBoxx € Sovereigns Germany Capped 10+
12/2009,10000
01/2010,10307.989935549325
02/2010,10474.0495140884
03/2010,10558.376417784644
04/2010,10804.644923364165
05/2010,11361.526525266729
06/2010,11500.7855016361
07/2010,11393.139470179387
08/2010,12607.971515560066
09/2010,12239.5138665872
10/2010,11951.834139087314
11/2010,11785.070550487648
12/2010,11342.036054959077
01/2011,11114.891548696762
02/2011,11126.801855886248
03/2011,10882.7611081697
04/2011,11079.893569109196
05/2011,11356.772046364367
06/2011,11176.738350321193
07/2011,11881.915331699645
08/2011,12305.179681691014
09/2011,13089.466177138576
10/2011,12785.854605527733
11/2011,12485.39661322941
12/2011,13544.64243521902
01/2012,13448.058041289709
02/2012,13515.507991478586
03/2012,13519.751339789009
04/2012,13749.991561523246
05/2012,15019.69781573646
06/2012,14002.432210099749
07/2012,14622.587921694794
08/2012,14584.436362794708
09/2012,14370.581251922767
10/2012,14299.331576201374
11/2012,14390.920391892505
12/2012,14663.189049846806
01/2013,14208.331042889644
02/2013,14399.898931158425
03/2013,14677.780381650606
04/2013,14937.907277053033
05/2013,14391.286862882951
06/2013,14146.860356229092
07/2013,14174.741083423263
08/2013,13857.001090733396
09/2013,13994.273408575615
10/2013,14068.416276326843
11/2013,14038.529602658651
12/2013,13754.36992546173
01/2014,14371.333481850525
02/2014,14428.097909475882
03/2014,14547.34564097223
04/2014,14776.52502562886
05/2014,15049.073358812711
06/2014,15232.00024688572
07/2014,15506.323071181205
08/2014,16311.681648579395
09/2014,16128.38828951594
10/2014,16442.26104885926
11/2014,16873.269509517155
12/2014,17422.040529762748
01/2015,18607.564539881205
02/2015,18485.38504046129
03/2015,19401.73610809737
04/2015,18716.338916229553
05/2015,18049.651032821334
06/2015,16917.284604264376
07/2015,17627.67897526996
08/2015,17201.106742391148
09/2015,17709.35378627219
10/2015,17903.853442464537
11/2015,17819.912297705603
12/2015,17403.273357462556
01/2016,18484.777470135024
02/2016,19179.191777162494
03/2016,19141.474197066884
04/2016,18694.31208090908
05/2016,19155.32294291636
06/2016,20552.29107054856
07/2016,20644.2945770973
08/2016,20326.07238573579
09/2016,20398.681861711208
10/2016,19414.446865081776
11/2016,18975.5592781293
12/2016,19084.815853149288
01/2017,18498.529776250172
02/2017,19035.245829704792
03/2017,18715.856717557916
04/2017,18780.21095227487
05/2017,18696.83880194847
06/2017,18342.673521602985
07/2017,18252.126255042593
08/2017,18797.57974842731
09/2017,18457.253569957866
10/2017,18642.93863443265
11/2017,18749.36952523683
12/2017,18566.838040074566
01/2018,18294.829769402953
02/2018,18312.45895283808
03/2018,18786.42167116558
04/2018,18587.794394344004
05/2018,19255.157355892516
06/2018,19307.23481242954
07/2018,19113.39094643062
08/2018,19396.92376535441
09/2018,19101.81817831128
10/2018,19313.985593832487
11/2018,19470.217963443552
12/2018,19760.501563770293
01/2019,20194.48036824548
02/2019,20034.3904092613
03/2019,20837.73339621204
04/2019,20558.05816666136
05/2019,21295.822134269187
06/2019,21887.962103042
07/2019,22376.911556084047
08/2019,23630.628102345705
09/2019,23163.859788199057
10/2019,22474.315687755145
11/2019,22300.724165965068
12/2019,21584.17693990937
01/2020,22650.800401575056
02/2020,23397.24394527238
03/2020,22742.418149186484
04/2020,23416.531892137944
05/2020,22739.52495715665
06/2020,22859.110227723144
07/2020,23223.652423482305
08/2020,22595.829753008198
09/2020,23177.36135100495
10/2020,23638.34328109193
11/2020,23411.709905421554
12/2020,23430.033454943838
01/2021,23133.96347055743
02/2021,22130.990233548106
03/2021,21982.47304268326
04/2021,21623.717230983773
05/2021,21367.187537671773
06/2021,21864.81656680332
07/2021,22855.252638350034
08/2021,22631.51245470949
09/2021,21879.282526952495
10/2021,22259.255080204104
11/2021,23086.7080007368
12/2021,22258.29068286083
01/2022,21823.34748104236
02/2022,21212.88396274726
03/2022,20231.127467290054
04/2022,18879.04239201402
05/2022,17987.939246824964
06/2022,17191.34704127717
07/2022,18901.223530909418
08/2022,17179.77427315783
09/2022,15824.796005851964
10/2022,15588.518656748802
11/2022,16571.239549549293
12/2022,14912.476119110788
01/2023,15611.664192987482
