Date,iBoxx € Sovereigns Germany Capped 5-10
12/2009,10000
01/2010,10163.596581744985
02/2010,10262.67785479752
03/2010,10287.717149863116
04/2010,10406.732049221777
05/2010,10696.454298885066
06/2010,10768.47161512256
07/2010,10696.014155026493
08/2010,11106.981366265223
09/2010,10990.088938402356
10/2010,10844.616502656023
11/2010,10800.54343095072
12/2010,10661.673153083013
01/2011,10502.742096238922
02/2011,10533.033774683512
03/2011,10416.81623407046
04/2011,10533.023993708877
05/2011,10732.282008973067
06/2011,10768.481396097195
07/2011,11136.637281358539
08/2011,11449.11985899747
09/2011,11696.226402176071
10/2011,11632.875029465185
11/2011,11539.32978805606
12/2011,11895.435512567085
01/2012,11963.57956284912
02/2012,11963.89255403744
03/2012,11992.824677007766
04/2012,12179.836912028935
05/2012,12515.363465907923
06/2012,12245.936738612256
07/2012,12513.28011831067
08/2012,12478.127295472485
09/2012,12432.782697064631
10/2012,12421.886691321244
11/2012,12509.66115769572
12/2012,12598.628902975666
01/2013,12327.422038296429
02/2013,12570.802030139095
03/2013,12736.990570162357
04/2013,12793.86693766487
05/2013,12598.638683950301
06/2013,12437.369974168447
07/2013,12500.11492645196
08/2013,12365.245067209968
09/2013,12505.230376186066
10/2013,12601.328451974925
11/2013,12597.122632881876
12/2013,12392.631796187963
01/2014,12714.425861679412
02/2014,12739.113041658149
03/2014,12799.10954006923
04/2014,12878.002881475128
05/2014,13042.626465556787
06/2014,13138.264835537802
07/2014,13199.415488955814
08/2014,13431.077873185752
09/2014,13451.90156818366
10/2014,13516.847239760053
11/2014,13634.140687582954
12/2014,13759.571906302175
01/2015,13932.724500265553
02/2015,13952.022363220405
03/2015,14019.95123206047
04/2015,13871.710780492433
05/2015,13812.085959117483
06/2015,13626.198536179336
07/2015,13772.306735276943
08/2015,13678.66368412147
09/2015,13850.515408458392
10/2015,13914.502544520552
11/2015,14006.296991470012
12/2015,13863.514323748304
01/2016,14165.267172212642
02/2016,14357.140551627404
03/2016,14292.214442000288
04/2016,14199.647298054662
05/2016,14314.19229200513
06/2016,14552.466615088328
07/2016,14581.64326242453
08/2016,14541.374989852236
09/2016,14589.898405016465
10/2016,14351.193719049326
11/2016,14282.443248339921
12/2016,14357.130770652773
01/2017,14194.649220016177
02/2017,14452.583302115723
03/2017,14296.390918169433
04/2017,14300.381555820511
05/2017,14330.125499685542
06/2017,14138.310806118587
07/2017,14148.121123677493
08/2017,14332.903296481882
09/2017,14238.272366888272
10/2017,14334.74211971326
11/2017,14304.196135928161
12/2017,14226.280891985763
01/2018,14010.238724247916
02/2018,14051.211226993924
03/2018,14219.150561476848
04/2018,14160.895076550798
05/2018,14397.594662717762
06/2018,14423.025196768756
07/2018,14342.821204761767
08/2018,14445.521438429254
09/2018,14292.938234123278
10/2018,14398.572760181261
11/2018,14483.66723950575
12/2018,14539.41879492524
01/2019,14652.878100691221
02/2019,14619.622786932227
03/2019,14852.40998324519
04/2019,14779.052673482702
05/2019,14983.47504335417
06/2019,15097.912446583654
07/2019,15227.999409229133
08/2019,15476.436164958093
09/2019,15310.15959616312
10/2019,15121.38678570765
11/2019,15060.744742970657
12/2019,14887.621491931184
01/2020,15158.554489320642
02/2020,15304.29101138212
03/2020,15153.664002003143
04/2020,15252.451845816628
05/2020,15109.64961614565
06/2020,15174.204048736638
07/2020,15225.065116838632
08/2020,15097.912446583654
09/2020,15204.525070105135
10/2020,15309.18149869962
11/2020,15233.867994010132
12/2020,15220.174629521136
01/2021,15198.656485324134
02/2021,15008.905577405167
03/2021,15003.036992624166
04/2021,14915.008220909182
05/2021,14846.541398464191
06/2021,14945.329242277676
07/2021,15177.138341127138
08/2021,15099.868641510651
09/2021,14906.205343737682
10/2021,14761.446919139702
11/2021,15041.182793700662
12/2021,14854.36617817219
01/2022,14675.374342351717
02/2022,14528.65972282674
03/2022,14090.472059178808
04/2022,13754.984629198361
05/2022,13608.270009673384
06/2022,13406.781932192414
07/2022,13963.319388923828
08/2022,13262.023507594438
09/2022,12749.500436720518
10/2022,12731.894682377519
11/2022,12872.7407171215
12/2022,12383.691985371574
01/2023,12647.778300516533
