Date,iSTOXX FactSet Automation & Robotics
06/2011,10000
07/2011,9698.585648948845
08/2011,8699.027633652331
09/2011,8374.841462008533
10/2011,8898.59333563934
11/2011,8937.891540797109
12/2011,9049.252469349321
01/2012,9923.421345939505
02/2012,10506.552903647334
03/2012,10541.815596295015
04/2012,10223.106191629195
05/2012,9866.635919904687
06/2012,9729.332410930474
07/2012,9880.279795534032
08/2012,9900.457358084477
09/2012,9833.006648987279
10/2012,9459.049156385718
11/2012,10029.497674776125
12/2012,10307.755870709865
01/2013,10307.275452553902
02/2013,10913.75533264153
03/2013,11291.36400322841
04/2013,11191.340943156923
05/2013,11573.369460778662
06/2013,11037.607133248779
07/2013,11231.503900995427
08/2013,11183.462085399131
09/2013,11733.348706714325
10/2013,11767.65056305008
11/2013,12009.781313655405
12/2013,12304.56589415427
01/2014,12172.258734002076
02/2014,12570.141050770591
03/2014,12413.812982820247
04/2014,12084.630462354433
05/2014,12617.894615473308
06/2014,13249.548406933394
07/2014,13059.78323532803
08/2014,13903.109266305391
09/2014,13949.133325646642
10/2014,13968.253968253968
11/2014,14343.652715323418
12/2014,14966.94723086975
01/2015,15922.691110342443
02/2015,16882.854836849994
03/2015,17491.06422229909
04/2015,16789.17329643722
05/2015,17361.54348745148
06/2015,16343.825665859564
07/2015,15409.796687036396
08/2015,14069.622199162151
09/2015,13542.603482070794
10/2015,14912.08347745878
11/2015,15967.658249740574
12/2015,15116.645528267805
01/2016,13892.732234136593
02/2016,14104.308390022676
03/2016,14544.467504515931
04/2016,14519.005342249895
05/2016,15119.047619047618
06/2016,14994.04281486606
07/2016,16273.876782351359
08/2016,16640.916253507054
09/2016,17009.781313655407
10/2016,17112.879049925054
11/2016,17854.164264575888
12/2016,18383.969406971828
01/2017,19181.463545870327
02/2017,19837.330412390944
03/2017,20343.78723240709
04/2017,20340.52038894654
05/2017,20768.37983781083
06/2017,20168.5306891118
07/2017,20517.026019447327
08/2017,21085.841116107465
09/2017,21949.632960528845
10/2017,23850.07014105077
11/2017,24014.66236211999
12/2017,23729.77439563396
01/2018,25146.719704831085
02/2018,24676.87074829932
03/2018,24165.12932856759
04/2018,23844.690418540296
05/2018,25216.5725047081
06/2018,24213.84372958223
07/2018,24606.537530266345
08/2018,25406.817133633114
09/2018,24489.41158384258
10/2018,21681.847880395097
11/2018,22547.9457319651
12/2018,20433.433260309776
01/2019,22753.85295361082
02/2019,24193.85833429417
03/2019,24976.747761251394
04/2019,26749.682924017066
05/2019,23596.890733694607
06/2019,25156.61631884392
07/2019,25831.603827971867
08/2019,24962.430339367387
09/2019,26212.479342019295
10/2019,26818.190553057382
11/2019,27991.08343902533
12/2019,28752.546216226605
01/2020,28551.443176140514
02/2020,26432.991275606288
03/2020,22620.008455359544
04/2020,26357.469541488914
05/2020,28288.462277566396
06/2020,29180.11837503363
07/2020,29204.139282831777
08/2020,30669.030323994004
09/2020,30930.281717206657
10/2020,31472.38556439525
11/2020,35433.62542757216
12/2020,36700.29593758407
01/2021,37441.96548675968
02/2021,37970.7137092125
03/2021,38857.6617087513
04/2021,39067.604442907104
05/2021,38594.3925592836
06/2021,41630.923555863024
07/2021,42540.2590414697
08/2021,44091.62535070525
09/2021,42974.172719935435
10/2021,45430.935085898775
11/2021,47219.9162150736
12/2021,47919.115838425765
01/2022,41831.450094161955
02/2022,40258.27280064568
03/2022,40592.73895999078
04/2022,37444.46366117068
05/2022,36444.040893193436
06/2022,32950.44006303086
07/2022,37791.709904300704
08/2022,36039.9131403974
09/2022,32669.20327453015
10/2022,34476.63246089396
11/2022,36098.04373726892
12/2022,33566.432222606556
01/2023,37010.646066336136
02/2023,38107.53680003075
03/2023,38905.6074407164
04/2023,36615.35800760982
05/2023,40493.19727891157
06/2023,41539.54802259888
07/2023,41676.75544794189
08/2023,40544.31280986971
09/2023,39456.743149237096
10/2023,36935.22041584996
11/2023,41658.97997617126
12/2023,45054.38333525501
01/2024,45448.42230677582
02/2024,47967.446865751954
03/2024,48362.2545063223
04/2024,44807.064068565276
05/2024,45163.63042392098
06/2024,46852.10807486837
07/2024,46275.7014105077
08/2024,45987.643645028635
09/2024,46214.11276374957
