Fund,ISIN,Tickers,Index
SPDR S&P 500 ETF,US78462F1030,SPY,S&P 500
iShares Core MSCI World UCITS ETF,IE00B4L5Y983,IWDA,MSCI World
Vanguard FTSE All-World UCITS ETF,IE00B3RBWM25,VT,FTSE All-World
iShares MSCI Emerging Markets UCITS ETF,IE00BKM4GZ66,IEMG,MSCI Emerging Markets
Nasdaq 100,US46090E1038,QQQ,Nasdaq-100
Vanguard FTSE Europe ETF,US9220428742,VGK,MSCI Europe
iShares Russell 2000 ETF,US4642876555,IWM,Russell 2000
iShares MSCI China UCITS ETF,IE00B44T3H88,MCHI,MSCI China
iShares MSCI Japan ETF,US46434G8226,IJP,MSCI Japan
iShares AEX UCITS ETF,IE00B0M62Y33,IAEX,AEX
iShares AEX UCITS ETF EUR (Acc),IE00BMTX2B82,IAEA,AEX
VanEck AEX UCITS ETF,NL0009272749,TDT,AEX
Amundi BEL 20 UCITS ETF Dist,FR0000021842,BEL,BEL 20
WisdomTree Physical Gold,DE000A0N62G0,VZLD,Gold spot price
Bitcoin,BTC,BTC,Bitcoin
21Shares Bitcoin ETP,CH0454664001,"21XB
ABTC",Bitcoin
BTCetc - ETC Group Physical Bitcoin,DE000A27Z304,BTCE,Bitcoin
VanEck Vectors Bitcoin ETN,DE000A28M8D0,VBTC,Bitcoin
Iconic Funds Physical Bitcoin ETP,DE000A3GK2N1,XBTI,Bitcoin
WisdomTree Bitcoin,GB00BJYDH287,"BTCW
WBIT
WBTC",Bitcoin
CoinShares Physical Bitcoin,GB00BLD4ZL17,BITC,Bitcoin
Vanguard SRI Euro Investment Grade Bond Index Fund,IE00BYSX5D68,,Bloomberg Barclays EUR Non-Government Float Adjusted Bond
iShares Euro Corporate Bond 1-5yr UCITS ETF,IE00B4L60045,"EUNT
IE15
SE15",Bloomberg Barclays Euro Corporate Bond 1-5Y
iShares Euro Government Bond 7-10yr UCITS ETF EUR (Dist),IE00B1FZS806,"IBCM
IBGM
IEGM",Bloomberg Barclays Euro Government Bond 10 Year Term
iShares Euro Government Bond 7-10yr UCITS ETF (Acc),IE00B3VTN290,"CBE0
CE01
CSBGE0
SXRQ",Bloomberg Barclays Euro Government Bond 10 Year Term
iShares Euro Government Bond 15-30yr UCITS ETF,IE00B1FZS913,"IBCL
IBGL
IEGL",Bloomberg Barclays Euro Government Bond 15-30 Year Term
iShares Euro Government Bond 3-5yr UCITS ETF,IE00B1FZS681,"IBCN
IBGX
IEGX",Bloomberg Barclays Euro Government Bond 5 Year Term
iShares Euro Inflation Linked Government Bond UCITS ETF,IE00B0M62X26,"IBC1
IBCI",Bloomberg Barclays Euro Government Inflation-Linked Bond
iShares Euro Government Inflation-Linked Bond Index Fund (IE),IE00B4WXT857,,Bloomberg Barclays Euro Government Inflation-Linked Bond
Xtrackers Eurozone Inflation-Linked Bond UCITS ETF 1C,LU0290358224,"DBXK
XEIN",Bloomberg Barclays Euro Government Inflation-Linked Bond
Amundi Euro Government Inflation-Linked Bond UCITS ETF Acc,LU1650491282,"EMI
LYQ7
MTI
MTIX",Bloomberg Barclays Euro Government Inflation-Linked Bond
Amundi Euro Government Bond 15+Y UCITS ETF Acc,LU1287023268,"EM15
LYXF
MTF",Bloomberg Barclays Euro Treasury 50bn 15+ Year Bond
Amundi Euro Government Bond 15+Y UCITS ETF Dist,LU2090062782,E15G,Bloomberg Barclays Euro Treasury 50bn 15+ Year Bond
Amundi Euro Government Bond 25+Y UCITS ETF Acc,LU1686832194,"LMTH
MTH",Bloomberg Barclays Euro Treasury 50bn 25+ Year Bond
Amundi Euro Government Bond 5-7Y UCITS ETF Acc,LU1287023003,"EM57
LYXC
MTC",Bloomberg Barclays Euro Treasury 50bn 5-7 Year Bond
Amundi Euro Government Bond 7-10Y UCITS ETF Acc,LU1287023185,"EM710
LYXD
MTD",Bloomberg Barclays Euro Treasury 50bn 7-10 Year Bond
Vanguard USD Corporate 1-3 Bond UCITS ETF Distributing,IE00BDD48R20,"VDUC
VUSC",Bloomberg Barclays Global Aggregate Corporate 1-3Y
iShares Fallen Angels High Yield Corporate Bond UCITS ETF USD (Acc),IE00BDFJYP58,WIAU,Bloomberg Barclays Global Corporate ex EM Fallen Angels 3% Issuer Capped
iShares Fallen Angels High Yield Corporate Bond UCITS ETF,IE00BYM31M36,"QDVQ
RISE
WING",Bloomberg Barclays Global Corporate ex EM Fallen Angels 3% Issuer Capped
BNP Paribas Easy EUR Corporate Bond SRI Fossil Free 1-3Y UCITS ETF,LU2008760592,"ASR3
SRIC3",Bloomberg Barclays MSCI Euro Corporate SRI Sustainable Ex Fossil Fuel Bond 1-3Y
BNP Paribas Easy € Corp Bond SRI Fossil Free 1-3Y,LU2008760758,,Bloomberg Barclays MSCI Euro Corporate SRI Sustainable Ex Fossil Fuel Bond 1-3Y
iShares Euro Corporate Bond ESG UCITS ETF (Dist),IE00BYZTVT56,"OM3F
SUOE",Bloomberg Barclays MSCI Euro Corporate Sustainable and SRI
Xtrackers II ESG EUR Corporate Bond UCITS ETF 1D,LU0484968812,XB4F,Bloomberg Barclays MSCI Euro Corporate Sustainable and SRI
iShares USD TIPS UCITS ETF USD (Acc),IE00B1FZSC47,"IDTP
ITPS
IUST
O002
TPSA",Bloomberg Barclays US Government Inflation-Linked Bond
